idestacao,uf,codibge,cidade,nomeestacao,ultimovalor,datahoraUltimovalor,acc1hr,acc3hr,acc6hr,acc12hr,acc24hr,acc48hr,acc72hr,acc96hr,tipoestacao,status
7878,DF,5300108,BRASÍLIA,Nucleo Bandeirante,0,24/07/26 20:40,-,-,-,-,-,-,-,-,1,0
7635,DF,5300108,BRASÍLIA,Águas Claras,0,24/07/26 20:20,-,-,-,-,-,-,-,-,1,0
7877,DF,5300108,BRASÍLIA,Sobradinho,0,24/07/26 20:30,-,-,-,-,-,-,-,-,1,0
7875,DF,5300108,BRASÍLIA,Ceilandia,0,24/07/26 21:10,-,-,-,-,-,-,-,-,1,0
7876,DF,5300108,BRASÍLIA,Cidade Estrutural,0,24/07/26 20:20,-,-,-,-,-,-,-,-,1,0
