idestacao,uf,codibge,cidade,nomeestacao,ultimovalor,datahoraUltimovalor,acc1hr,acc3hr,acc6hr,acc12hr,acc24hr,acc48hr,acc72hr,acc96hr,tipoestacao,status
4120,SP,3548708,SÃO BERNARDO DO CAMPO,Demarchi,0,24/07/26 15:50,-,-,-,-,-,-,-,-,1,0
4336,SP,3501905,AMPARO,ETE,0,24/07/26 21:00,-,2.59,3.61,6.63,7.22,7.22,7.22,7.42,1,0
7037,SP,3515103,EMBU-GUAÇU,Fazenda da Ilha,0,13/01/25 13:00,-,-,-,-,-,-,-,-,1,0
4171,SP,3549904,SÃO JOSÉ DOS CAMPOS,Chacara Boa Vista,0,24/07/26 20:20,0.2,1,1,1,1,1,1,1,1,0
17847,SP,3523206,ITARARÉ,G2-352320603A,0,24/07/26 20:10,-,-,-,-,-,-,-,0.2,1,0
6439,SP,3513009,COTIA,Jardim Adelina,0,24/07/26 20:30,-,-,-,-,0.2,2.78,2.78,2.78,1,0
3672,SP,3550308,SÃO PAULO,Freguesia do Ó,0,24/07/26 20:10,-,-,-,-,-,0.8,0.8,0.8,1,0
7262,SP,3543402,RIBEIRÃO PRETO,Jardim São José,0,12/05/23 09:50,-,-,-,-,-,-,-,-,1,0
9858,SP,3549904,SÃO JOSÉ DOS CAMPOS,Testes Acqua - PIT SJC,0,24/07/26 20:00,-,1.4,1.4,1.4,1.4,1.4,1.4,1.4,5,0
3882,SP,3542602,REGISTRO,Vila São Francisco,0,19/07/26 05:10,-,-,-,-,-,-,-,-,1,0
3018,SP,3542602,REGISTRO,Registro,0,24/07/26 12:40,-,-,-,-,-,12.03,12.23,16.41,1,0
3814,SP,3550308,SÃO PAULO,C.E.U Parelheiros,0,24/07/26 20:20,-,-,-,0.2,0.4,5.33,5.33,5.33,1,0
8162,SP,3542107,RAFARD,Centro,1.4,29/01/26 04:40,-,-,-,-,-,-,-,-,1,0
