idestacao,uf,codibge,cidade,nomeestacao,ultimovalor,datahoraUltimovalor,acc1hr,acc3hr,acc6hr,acc12hr,acc24hr,acc48hr,acc72hr,acc96hr,tipoestacao,status
6585,RJ,3300456,BELFORD ROXO,Rio Botas,0,31/12/16 23:00,-,-,-,-,-,-,-,-,3,0
3381,RJ,3305802,TERESÓPOLIS,Est. Teresópolis/Nova Friburgo 2,0,21/06/26 05:20,-,-,-,-,-,-,-,-,1,0
14417,RJ,3303401,NOVA FRIBURGO,Maringá - GEO,0,24/07/26 20:10,-,-,-,-,-,-,-,-,10,0
7522,RJ,3300209,ARARUAMA,Mataruna,0,24/07/26 20:20,-,-,0.4,0.4,0.4,0.4,0.4,0.4,1,0
3678,RJ,3301702,DUQUE DE CAXIAS,Taquara,0,24/07/26 12:40,-,-,-,-,-,-,-,-,1,0
7552,RJ,3302007,ITAGUAÍ,Ilha da Madeira,0,24/07/26 20:20,-,-,0.2,0.2,1.4,1.4,1.4,1.4,1,0
3330,RJ,3304607,SANTA MARIA MADALENA,Arranchadouro,0,24/07/26 20:10,-,-,-,-,0.4,0.4,0.4,0.4,1,0
3582,RJ,3302700,MARICÁ,Ponta Negra,0,24/07/26 07:40,-,-,-,-,-,-,-,-,1,0
3388,RJ,3300225,AREAL,SAAESA,0,24/07/26 20:50,-,-,-,-,-,-,-,-,1,0
3042,RJ,3304557,RIO DE JANEIRO,Abolição,0,26/05/23 18:10,-,-,-,-,-,-,-,-,1,0
3384,RJ,3301108,CANTAGALO,Euclidelândia,0,31/07/14 23:00,-,-,-,-,-,-,-,-,1,0
3395,RJ,3300951,COMENDADOR LEVY GASPARIAN,SAELEG,0,24/07/26 20:40,-,-,-,-,-,-,-,0.59,1,0
3404,RJ,3305158,SÃO JOSÉ DO VALE DO RIO PRETO,Águas Claras,0,22/07/26 05:20,-,-,-,-,-,-,-,-,1,0
7624,RJ,3305604,SILVA JARDIM,Caju,0,10/05/26 03:10,-,-,-,-,-,-,-,-,1,0
13813,RJ,3303906,PETRÓPOLIS,Chácara Flora - Geo,0,24/07/26 20:10,-,-,-,0.4,0.4,0.4,0.4,0.4,10,0
18796,RJ,3302908,MIGUEL PEREIRA,G2-330290803A,0.2,24/07/26 20:30,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,1,0
3724,RJ,3303302,NITERÓI,Itaipu,0,18/02/26 20:40,-,-,-,-,-,-,-,-,1,0
7536,RJ,3300456,BELFORD ROXO,Vila Santa Rita,0,24/07/26 20:30,-,-,0.4,0.4,0.4,0.4,0.4,0.4,1,0
3726,RJ,3303302,NITERÓI,Jurujuba,0,22/12/25 22:40,-,-,-,-,-,-,-,-,1,0
3695,RJ,3301850,GUAPIMIRIM,Rua Hilton de Araujo,0,14/10/25 11:40,-,-,-,-,-,-,-,-,1,0
3725,RJ,3303302,NITERÓI,Badu,0,24/07/26 20:20,-,-,0.59,0.79,0.99,0.99,0.99,0.99,1,0
3285,RJ,3303401,NOVA FRIBURGO,Rio Grandina,0,19/01/26 17:30,-,-,-,-,-,-,-,-,1,0
9801,RJ,3302056,ITALVA,São Caetano,0,24/07/26 20:10,-,-,-,-,-,-,-,-,1,0
7592,RJ,3304557,RIO DE JANEIRO,Santa Cruz,0.2,24/07/26 20:50,0.6,0.6,0.6,0.6,1.4,1.4,1.4,1.4,1,0
3296,RJ,3303401,NOVA FRIBURGO,Caledônia2,0,24/07/26 21:00,-,1,1,1.6,2.2,2.2,2.2,2.2,1,0
3327,RJ,3303906,PETRÓPOLIS,Vale do Cuiabá2,0,27/04/25 12:50,-,-,-,-,-,-,-,-,1,0
3349,RJ,3305802,TERESÓPOLIS,Vieira2,0,24/07/26 20:20,-,-,-,-,-,-,-,-,1,0
18792,RJ,3301405,CONCEIÇÃO DE MACABU,G2-330140503A,0,24/07/26 20:10,-,-,-,-,-,-,-,-,1,0
6582,RJ,3305703,SUMIDOURO,Rio Paquequer,0,24/07/26 20:10,-,-,-,-,-,-,-,-,3,0
3348,RJ,3305802,TERESÓPOLIS,Venda Nova,0,31/07/14 23:50,-,-,-,-,-,-,-,-,1,0
3297,RJ,3303401,NOVA FRIBURGO,Perissê,0,24/07/26 22:00,-,-,-,-,-,0.62,0.62,0.62,1,0
3429,RJ,3300100,ANGRA DOS REIS,Vila Velha,0,24/07/26 20:20,-,-,0.2,1.19,3.38,3.38,3.38,3.38,1,0
3700,RJ,3301900,ITABORAÍ,Visconde de Itaboraí,0,23/07/23 11:00,-,-,-,-,-,-,-,-,1,0
14416,RJ,3303906,PETRÓPOLIS,LNCC - Geo,0.2,24/07/26 20:50,0.4,0.4,0.4,1.4,1.4,1.4,1.4,1.4,10,0
7549,RJ,3301900,ITABORAÍ,São José,0,24/07/26 05:50,-,-,-,-,-,-,-,-,1,0
7584,RJ,3304300,RIO BONITO,Centro,0,24/07/26 20:20,-,0.4,1.4,1.6,1.6,1.6,1.6,1.6,1,0
7580,RJ,3304201,RESENDE,Cidade Alegria,0,24/07/26 21:40,0.6,0.8,0.8,1.6,1.8,1.8,1.8,1.8,1,0
3284,RJ,3303401,NOVA FRIBURGO,Cardinot,0,05/09/24 12:30,-,-,-,-,-,-,-,-,1,0
3361,RJ,3306008,TRÊS RIOS,Vila Isabel,0,20/07/26 18:20,-,-,-,-,-,-,-,-,1,0
9658,RJ,3305505,SAQUAREMA,Verde Vale,0,24/07/26 20:20,-,-,0.2,0.2,0.2,0.2,0.2,0.2,1,0
17551,RJ,3303302,NITERÓI,Pendotiba,0,19/02/26 22:30,-,-,-,-,-,-,-,-,10,0
3313,RJ,3303906,PETRÓPOLIS,Independência2,0.2,24/07/26 21:10,0.79,0.99,0.99,1.39,1.39,1.39,1.39,1.39,1,0
3298,RJ,3303401,NOVA FRIBURGO,Nova Suiça,0,24/07/26 21:10,-,-,-,-,-,-,-,-,1,0
9810,RJ,3304706,SANTO ANTÔNIO DE PÁDUA,Centro,0,24/08/24 07:10,-,-,-,-,-,-,-,-,1,0
3723,RJ,3303302,NITERÓI,Santa Barbara,0,23/09/24 09:50,-,-,-,-,-,-,-,-,1,0
3583,RJ,3304904,SÃO GONÇALO,Vista Alegre,0,18/01/26 10:50,-,-,-,-,-,-,-,-,1,0
3292,RJ,3303401,NOVA FRIBURGO,Granja Spinelli,0,30/12/25 17:10,-,-,-,-,-,-,-,-,1,0
18785,RJ,3300936,CARAPEBUS,G2-330093601A,0,24/07/26 20:10,-,-,-,-,-,-,-,-,1,0
3436,RJ,3300100,ANGRA DOS REIS,Enseada,0,24/07/26 20:50,-,-,-,1.2,4.98,4.98,4.98,4.98,1,0
7564,RJ,3303203,NILÓPOLIS,Prefeitura Municipal,0,24/07/26 21:00,-,-,0.2,0.2,0.2,0.2,0.2,0.2,1,0
3535,RJ,3303302,NITERÓI,Largo da Batalha,0,24/07/26 21:00,-,-,-,0.2,0.4,0.4,0.6,0.6,1,0
3274,RJ,3303401,NOVA FRIBURGO,Mury,0,24/07/26 18:50,-,-,-,-,-,-,-,-,1,0
3706,RJ,3302502,MAGÉ,Vila Inhomitim,0,22/12/25 13:50,-,-,-,-,-,-,-,-,1,0
18794,RJ,3302908,MIGUEL PEREIRA,G2-330290802A,0,24/07/26 20:10,-,-,-,-,-,-,-,-,1,0
3360,RJ,3306008,TRÊS RIOS,Purys,0,09/06/26 14:50,-,-,-,-,-,-,-,-,1,0
3719,RJ,3302700,MARICÁ,Espraiado,0,24/07/26 20:50,-,-,0.6,0.6,0.6,0.6,0.6,0.6,1,0
3312,RJ,3303906,PETRÓPOLIS,Itaipava,0,24/07/26 20:50,-,-,-,-,-,-,-,-,1,0
7599,RJ,3304557,RIO DE JANEIRO,Vargem Pequena,0.2,08/10/25 06:30,-,-,-,-,-,-,-,-,1,0
3722,RJ,3303302,NITERÓI,Visconde de Itaboraí,0,14/11/25 21:40,-,-,-,-,-,-,-,-,1,0
3308,RJ,3303906,PETRÓPOLIS,Estrada do Brejal,0,31/12/16 23:00,-,-,-,-,-,-,-,-,1,0
3422,RJ,3300100,ANGRA DOS REIS,Bracuí,0,24/07/26 20:40,-,-,-,3.17,9.5,9.5,9.5,9.5,1,0
13759,RJ,3300100,ANGRA DOS REIS,Colégio Naval (U),0.2,24/07/26 20:20,0.6,3.2,3.2,3.6,7.2,9.2,14.8,16,10,0
3434,RJ,3300100,ANGRA DOS REIS,Pontal,0,24/07/26 21:00,-,-,0.2,1.8,4.2,4.2,4.2,4.2,1,0
3439,RJ,3300100,ANGRA DOS REIS,Itanema,0,24/07/26 20:30,-,-,-,1.39,6.75,6.75,6.75,6.75,1,0
3442,RJ,3300100,ANGRA DOS REIS,Mombaça,0,24/07/26 21:00,-,0.2,0.2,0.8,6.34,6.34,6.34,6.34,1,0
3331,RJ,3304607,SANTA MARIA MADALENA,Morro das Torres,0.42,19/03/24 17:30,-,-,-,-,-,-,-,-,1,0
7551,RJ,3302007,ITAGUAÍ,Santa Candida,0,24/07/26 21:10,-,-,-,-,-,-,-,-,1,0
3711,RJ,3302502,MAGÉ,Centro,0,24/07/26 20:20,-,-,0.4,0.6,0.6,0.6,0.6,0.6,1,0
18793,RJ,3301405,CONCEIÇÃO DE MACABU,G2-330140502A,0,24/07/26 20:10,-,-,-,-,-,-,-,-,1,0
7609,RJ,3304557,RIO DE JANEIRO,Vicente de Carvalho,0,26/03/26 21:10,-,-,-,-,-,-,-,-,1,0
18797,RJ,3305000,SÃO JOÃO DA BARRA,G2-330500002A,0,24/07/26 20:10,-,-,-,-,-,-,-,-,1,0
7614,RJ,3304557,RIO DE JANEIRO,Pilares,0,26/04/26 09:40,-,-,-,-,-,-,-,-,1,0
3734,RJ,3303500,NOVA IGUAÇU,Jardim Ocidental,0,24/07/26 21:10,-,-,-,-,-,-,-,-,1,0
13915,RJ,3303401,NOVA FRIBURGO,Bairro Suiço - GEO,0.2,20/05/26 14:50,-,-,-,-,-,-,-,-,10,0
7563,RJ,3303203,NILÓPOLIS,Paiol,0,24/07/26 21:00,-,0.2,0.6,0.6,0.6,0.6,0.6,0.6,1,0
8795,RJ,3301702,DUQUE DE CAXIAS,Rio Capivari e Rio Joao Pinto,0,18/06/26 01:10,-,-,-,-,-,-,-,-,3,0
7626,RJ,3306107,VALENÇA,Centro,0,24/07/26 20:20,-,-,-,-,-,-,-,-,1,0
3363,RJ,3306008,TRÊS RIOS,Vila Isabel2,0,04/02/23 14:40,-,-,-,-,-,-,-,-,1,0
3433,RJ,3300100,ANGRA DOS REIS,Serra d`agua,0.2,24/07/26 20:40,0.2,0.4,1,2.19,5.57,5.57,5.57,5.57,1,0
9807,RJ,3303104,NATIVIDADE,Centro,0,20/07/26 03:20,-,-,-,-,-,-,-,-,1,0
9809,RJ,3304706,SANTO ANTÔNIO DE PÁDUA,Dezessete,0,07/10/23 02:50,-,-,-,-,-,-,-,-,1,0
9653,RJ,3301801,ENGENHEIRO PAULO DE FRONTIN,Morro Azul,0,05/03/24 11:50,-,-,-,-,-,-,-,-,1,0
7617,RJ,3305109,SÃO JOÃO DE MERITI,Coelho da Rocha,0,14/07/26 08:00,-,-,-,-,-,-,-,-,1,0
3324,RJ,3303906,PETRÓPOLIS,Pedro do Rio,0,24/07/26 21:20,-,-,-,-,-,-,-,-,1,0
3114,RJ,3304557,RIO DE JANEIRO,Glória,0,24/07/26 20:50,-,-,0.2,0.2,0.2,0.2,0.2,0.2,1,0
3432,RJ,3300100,ANGRA DOS REIS,Ariró,0,24/07/26 20:50,-,-,0.2,0.99,6.56,6.56,6.56,6.56,1,0
3690,RJ,3301702,DUQUE DE CAXIAS,Jardim Mariana,0,24/07/26 20:10,-,-,1.18,1.18,1.18,1.18,1.18,1.18,1,0
8799,RJ,3304201,RESENDE,Rio Sesmarias,0.2,24/07/26 20:40,0.6,0.6,0.8,1.6,2.2,2.2,2.2,2.4,3,0
3359,RJ,3306008,TRÊS RIOS,Centro,0,22/12/25 20:20,-,-,-,-,-,-,-,-,1,0
3714,RJ,3302700,MARICÁ,Itaipuaçu3,0,24/07/26 20:30,-,-,-,0.2,0.2,0.2,0.2,0.2,1,0
3398,RJ,3301504,CORDEIRO,Jardim Alah,0.2,08/05/25 17:30,-,-,-,-,-,-,-,-,1,0
3275,RJ,3303401,NOVA FRIBURGO,São Geraldo,0,24/07/26 21:00,-,-,-,-,-,-,-,-,1,0
3392,RJ,3300803,CACHOEIRAS DE MACACU,Centro2,0,22/03/26 06:50,-,-,-,-,-,-,-,-,1,0
3528,RJ,3305802,TERESÓPOLIS,Volta do Pião,0,24/07/26 20:20,-,-,-,-,-,-,-,-,1,0
7613,RJ,3304557,RIO DE JANEIRO,Higienópolis,0,24/07/26 20:30,-,-,-,-,-,-,-,-,1,0
9754,RJ,3303856,PATY DO ALFERES,Lot. Novo Arcozelo,1.2,24/07/26 20:30,1.4,1.4,1.4,13,19.2,19.2,19.2,19.2,1,0
3749,RJ,3305554,SEROPÉDICA,Santa Sofia,0.2,24/07/26 21:10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1,0
3325,RJ,3303906,PETRÓPOLIS,Estrada da Cachoeira,0,24/07/26 20:30,-,-,-,-,-,-,-,-,1,0
